,PT,leading_time,wave_id,crest_depth,trough_depth_a,trough_depth_b,wave_height,wave_period,wave_steepness,wave_skewness,wave_kurtosis,ursell_number,mean_water_depth_gamma,trough_depth_gamma,crest_depth_gamma,wavenumber,angular_frequency,wavelenght,a,b,va,b0,mean_water_depth,Hrms,Hm0,Tm01,Tm02,broken,FID,location
0,HP12,20170706:1000,0,1.0818,0.67,0.9279,0.4118,6,0.0215,-0.3931,-1.0507,502.0018,0.4745,0.6146,0.3807,0.3281,1.0472,19.148,0.8833,0.1167,0.1803,1.1944,0.83,0.28,0.33,8,4.1,0,1,Anna_Bay
1,HP12,20170706:1000,1,1.1025,0.9165,0.6885,0.186,15.4,0.0037,0.3619,-1.0812,615.6587,0.215,0.2029,0.1687,0.1245,0.408,50.4793,0.1104,0.8896,0.0716,2.7257,0.83,0.28,0.33,8,4.1,0,1,Anna_Bay
2,HP12,20170706:1000,2,0.9899,0.6878,0.6828,0.3021,15.7,0.0062,0.5659,-0.9195,2209.6755,0.3741,0.4392,0.3052,0.1288,0.4002,48.7847,0.0637,0.9363,0.0631,1.9692,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
3,HP12,20170706:1000,3,0.955,0.68,0.7234,0.275,13.6,0.0066,0.3898,-0.4779,1504.4914,0.3335,0.4044,0.288,0.1515,0.462,41.4757,0.2132,0.7868,0.0702,1.9799,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
4,HP12,20170706:1000,4,0.9414,0.7227,0.7142,0.2187,13.8,0.0052,0.2673,-1.1205,1011.9021,0.2667,0.3026,0.2323,0.1503,0.4553,41.7911,0.2319,0.7681,0.0682,1.471,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
5,HP12,20170706:1000,5,0.9856,0.7127,0.8189,0.2729,10.5,0.0084,-0.1393,-0.9774,793.6919,0.3274,0.3829,0.2769,0.1936,0.5984,32.4479,0.9143,0.0857,0.0939,1.2763,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
6,HP12,20170706:1000,6,0.9521,0.816,0.7441,0.1361,5.3,0.0086,-0.6405,-0.3692,62.7362,0.156,0.1668,0.1429,0.397,1.1855,15.8258,0.6415,0.3585,0.1796,0.6885,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
7,HP12,20170706:1000,7,0.9735,0.7412,0.7213,0.2323,8.9,0.0085,0.3274,-0.7917,424.3061,0.2792,0.3134,0.2386,0.2304,0.706,27.2722,0.2135,0.7865,0.1094,0.9961,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
8,HP12,20170706:1000,8,0.8909,0.7206,0.6678,0.1703,13.7,0.0042,0.6169,-0.4469,741.5639,0.2245,0.2363,0.1912,0.1557,0.4586,40.3655,0.2409,0.7591,0.065,1.2481,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
9,HP12,20170706:1000,9,0.9051,0.6657,0.7248,0.2394,7.2,0.0113,0.8136,0.5716,364.688,0.3141,0.3596,0.2645,0.2964,0.8727,21.1991,0.5694,0.4306,0.1257,0.7009,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
10,HP12,20170706:1000,10,0.9065,0.7234,0.7248,0.1831,12.7,0.0049,0.78,-0.3073,688.2772,0.2335,0.2531,0.202,0.1666,0.4947,37.7231,0.2283,0.7717,0.0714,0.7776,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
11,HP12,20170706:1000,11,0.8666,0.7227,0.6871,0.1439,4.1,0.0125,0.7135,-0.9849,50.7489,0.1908,0.1991,0.1661,0.5446,1.5325,11.5378,0.3415,0.6585,0.2114,0.2797,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
12,HP12,20170706:1000,12,0.8559,0.6842,0.6714,0.1717,10.7,0.0056,0.7346,-0.0848,509.9879,0.2327,0.2509,0.2006,0.2037,0.5872,30.844,0.8411,0.1589,0.08,0.7158,0.83,0.28,0.33,8,4.1,0,1,Anna_Bay
13,HP12,20170706:1000,13,0.96,0.6671,0.774,0.2929,10.4,0.0092,-0.5452,-0.394,992.6844,0.35,0.4391,0.3051,0.1981,0.6042,31.7201,0.1538,0.8462,0.0923,1.7768,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
14,HP12,20170706:1000,14,0.8118,0.7726,0.6792,0.0392,4.9,0.0029,-1.5706,1.7476,15.5171,0.0506,0.0507,0.0483,0.465,1.2823,13.5113,0.4082,0.5918,0.1657,0.4727,0.83,0.28,0.33,8,4.1,0,1,Anna_Bay
15,HP12,20170706:1000,15,0.9828,0.6778,0.8388,0.305,4,0.0256,-0.4337,-1.1452,138.8101,0.3643,0.45,0.3103,0.5278,1.5708,11.9046,0.4,0.6,0.2457,0.6452,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
16,HP12,20170706:1000,16,0.8944,0.8317,0.7419,0.0627,6.7,0.0032,-0.0471,-1.0921,41.7699,0.0758,0.0754,0.0701,0.3209,0.9378,19.5771,0.2388,0.7612,0.1335,0.5739,0.83,0.28,0.33,8,4.1,0,1,Anna_Bay
17,HP12,20170706:1000,17,0.903,0.7412,0.7605,0.1618,2.1,0.03,0.4249,-1.2314,11.5388,0.2003,0.2183,0.1792,1.166,2.992,5.3888,0.619,0.381,0.43,0.1451,0.83,0.28,0.33,8,4.1,1,1,Anna_Bay
