,PT,leading_time,wave_id,crest_depth,trough_depth_a,trough_depth_b,wave_height,wave_period,wave_steepness,wave_skewness,wave_kurtosis,ursell_number,mean_water_depth_gamma,trough_depth_gamma,crest_depth_gamma,wavenumber,angular_frequency,wavelenght,a,b,va,b0,mean_water_depth,Hrms,Hm0,Tm01,Tm02,broken,FID,location
0,010_UQ_RBR01,20180614:1130,0,1.2348,0.9163,0.8544,0.3185,11.9,0.0077,1.0701,-0.0413,701.4628,0.3245,0.3475,0.2579,0.1526,0.528,41.1676,0.3193,0.6807,0.1038,1.5213,0.93,0.33,0.5,4.8,3.7,1,1,Seven_Mile_Beach_2018
1,010_UQ_RBR01,20180614:1130,1,1.3677,0.8534,0.7671,0.5142,5.3,0.0274,1.0207,-0.1281,291.5736,0.5271,0.6025,0.376,0.3347,1.1855,18.7742,0.283,0.717,0.258,1.1212,0.93,0.33,0.5,4.8,3.7,1,1,Seven_Mile_Beach_2018
2,010_UQ_RBR01,20180614:1130,2,1.0327,0.7626,0.7907,0.2701,5.6,0.0155,-0.1681,-1.498,184.9378,0.3,0.3542,0.2615,0.3606,1.122,17.4267,0.375,0.625,0.1844,0.7828,0.93,0.33,0.5,4.8,3.7,1,1,Seven_Mile_Beach_2018
3,010_UQ_RBR01,20180614:1130,3,0.9227,0.7901,0.7684,0.1325,3.7,0.0125,0.5241,-1.1725,30.3312,0.1589,0.1677,0.1437,0.5914,1.6982,10.6248,0.4595,0.5405,0.2494,0.2495,0.93,0.33,0.5,4.8,3.7,0,1,Seven_Mile_Beach_2018
4,010_UQ_RBR01,20180614:1130,4,1.2481,0.7672,0.8482,0.4809,4.3,0.0335,0.8431,-0.257,219.5618,0.502,0.6268,0.3853,0.4375,1.4612,14.3602,0.2558,0.7442,0.2903,0.8353,0.93,0.33,0.5,4.8,3.7,1,1,Seven_Mile_Beach_2018
5,010_UQ_RBR01,20180614:1130,5,1.0798,0.8478,0.8457,0.232,7,0.0103,0.3013,-0.8629,191.75,0.243,0.2737,0.2149,0.28,0.8976,22.441,0.4714,0.5286,0.1543,0.7725,0.93,0.33,0.5,4.8,3.7,1,1,Seven_Mile_Beach_2018
6,010_UQ_RBR01,20180614:1130,6,1.3703,0.8451,0.7663,0.5252,11.4,0.0127,1.8589,3.1808,1498.207,0.5617,0.6215,0.3833,0.1514,0.5512,41.4935,0.1579,0.8421,0.1202,1.9351,0.93,0.33,0.5,4.8,3.7,1,1,Seven_Mile_Beach_2018
7,010_UQ_RBR01,20180614:1130,7,1.242,0.762,0.9022,0.4801,2.9,0.0527,0.0522,-1.0267,90.1441,0.481,0.6301,0.3865,0.6894,2.1666,9.1139,0.3793,0.6207,0.4283,0.7011,0.93,0.33,0.5,4.8,3.7,1,1,Seven_Mile_Beach_2018
8,010_UQ_RBR01,20180614:1130,8,1.0172,0.8998,0.765,0.1174,7.4,0.0051,0.2363,-0.7612,85.8153,0.1332,0.1304,0.1154,0.2722,0.8491,23.08,0.1622,0.8378,0.1375,0.8644,0.93,0.33,0.5,4.8,3.7,0,1,Seven_Mile_Beach_2018
9,010_UQ_RBR01,20180614:1130,9,1.2568,0.7649,1.0218,0.4919,2.8,0.0561,-0.4898,-0.9547,84.5068,0.47,0.6431,0.3914,0.7166,2.244,8.7684,0.4643,0.5357,0.4489,0.8042,0.93,0.33,0.5,4.8,3.7,1,1,Seven_Mile_Beach_2018
